0x80000000:jal    zero,0xa0        pc=0x800000a0,zero=0x80000004
0x800000a0:auipc  sp,0x8          sp=0x800000a0+0x00008000=0x800080a0
0x800000a4:addi   sp,sp,-160         sp=0x800080a0+0xffffff60=0x80008000
0x800000a8:jal    ra,0x1fff98        pc=0x80000040,ra=0x800000ac
0x80000040:auipc  a0,0x0          a0=0x80000040+0x00000000=0x80000040
0x80000044:addi   a0,a0,160         a0=0x80000040+0x000000a0=0x800000e0
0x80000048:auipc  a1,0x0          a1=0x80000048+0x00000000=0x80000048
0x8000004c:addi   a1,a1,152         a1=0x80000048+0x00000098=0x800000e0
0x80000050:sw     zero,0(a0)      mem[0x800000e0]=0x00000000
0x80000054:addi   a0,a0,4         a0=0x800000e0+0x00000004=0x800000e4
0x80000058:blt    a0,a1,0x1ff8         (800000e4<800000e0)=0->pc=0x8000005c
0x8000005c:jalr   zero,ra,0x0       pc=0x800000ac+00000000,zero=0x80000060
0x800000ac:jal    ra,0xc        pc=0x800000b8,ra=0x800000b0
0x800000b8:addi   a0,zero,0         a0=0x00000000+0x00000000=0x00000000
0x800000bc:jalr   zero,ra,0x0       pc=0x800000b0+00000000,zero=0x800000c0
0x800000b0:jal    zero,0x1fffb0        pc=0x80000060,zero=0x800000b4
0x80000060:addi   sp,sp,-16         sp=0x80008000+0xfffffff0=0x80007ff0
0x80000064:sw     a0,4(sp)      mem[0x80007ff4]=0x00000000
0x80000068:addi   a0,zero,32         a0=0x00000000+0x00000020=0x00000020
0x8000006c:lui    a1,0x20          a1=0x00020000
0x80000070:addi   a1,a1,38         a1=0x00020000+0x00000026=0x00020026
0x80000074:sw     a1,0(sp)      mem[0x80007ff0]=0x00020026
0x80000078:add    a1,zero,sp            a1=0x00000000+0x80007ff0=0x80007ff0
0x8000007c:jal    ra,0x14        pc=0x80000090,ra=0x80000080
0x80000090:slli   zero,zero,31         zero=0x00000000<<31=0x00000000
0x80000094:ebreak
