0x80000000:jal    zero,0x800000a0   pc=0x800000a0,rd=0x80000004
0x800000a0:auipc  sp,0x00008   rd=0x800000a0+0x00008000=0x800080a0
0x800000a4:addi   sp,sp,0xf60   0x800080a0+0xffffff60
0x800000a8:jal    ra,0x80000040   pc=0x80000040,rd=0x800000ac
0x80000040:auipc  a0,0x00000   rd=0x80000040+0x00000000=0x80000040
0x80000044:addi   a0,a0,0x104   0x80000040+0x00000104
0x80000048:auipc  a1,0x00000   rd=0x80000048+0x00000000=0x80000048
0x8000004c:addi   a1,a1,0x0fc   0x80000048+0x000000fc
0x80000050:sw     zero,0x000(a0)   mem[0x80000144]=0x00000000
0x80000054:addi   a0,a0,0x004   0x80000144+0x00000004
0x80000058:blt    a0,a1,0x80000050   (0x80000148<0x80000144)=0->pc=0x8000005c
0x8000005c:jalr   zero,ra,0x000   pc=0x800000ac+0x00000000,rd=0x80000060
0x800000ac:jal    ra,0x8000011c   pc=0x8000011c,rd=0x800000b0
0x8000011c:addi   sp,sp,0xff0   0x80008000+0xfffffff0
0x80000120:sw     ra,0x000(sp)   mem[0x80007ff0]=0x800000b0
0x80000124:jal    ra,0x800000f0   pc=0x800000f0,rd=0x80000128
0x800000f0:auipc  t0,0x00000   rd=0x800000f0+0x00000000=0x800000f0
0x800000f4:addi   t0,t0,0xf14   0x800000f0+0xffffff14
0x800000f8:addi   t0,t0,0x001   0x80000004+0x00000001
0x800000fc:csrrw  zero,0x305,t0   rd=0x00000000,csr=0x80000005
0x80000100:csrrs  t0,0x304,zero   rd=0x00000000,csr=0x00000000|0x00000000
0x80000104:ori    t0,t0,0x008   0x00000000|0x00000008
0x80000108:csrrw  zero,0x304,t0   rd=0x00000000,csr=0x00000008
0x8000010c:csrrs  t0,0x300,zero   rd=0x00000000,csr=0x00000000|0x00000000
0x80000110:ori    t0,t0,0x008   0x00000000|0x00000008
0x80000114:csrrw  zero,0x300,t0   rd=0x00000000,csr=0x00000008
0x80000118:jalr   zero,ra,0x000   pc=0x80000128+0x00000000,rd=0x8000011c
0x80000128:lui    t0,0x02000   rd=0x02000000
0x8000012c:addi   t1,zero,0x001   0x00000000+0x00000001
>exception:store_fault               cause=0x00000007,epc=0x80000130,tval=0x02000000
0x80000134:lw     ra,0x000(sp)   ra=mem[0x80007ff0]=0x800000b0
0x80000138:addi   sp,sp,0x010   0x80007ff0+0x00000010
0x8000013c:addi   a0,zero,0x000   0x00000000+0x00000000
0x80000140:jalr   zero,ra,0x000   pc=0x800000b0+0x00000000,rd=0x80000144
0x800000b0:jal    zero,0x80000060   pc=0x80000060,rd=0x800000b4
0x80000060:addi   sp,sp,0xff0   0x80008000+0xfffffff0
0x80000064:sw     a0,0x004(sp)   mem[0x80007ff4]=0x00000000
0x80000068:addi   a0,zero,0x020   0x00000000+0x00000020
0x8000006c:lui    a1,0x00020   rd=0x00020000
0x80000070:addi   a1,a1,0x026   0x00020000+0x00000026
0x80000074:sw     a1,0x000(sp)   mem[0x80007ff0]=0x00020026
0x80000078:add    a1,zero,sp   0x00000000+0x80007ff0
0x8000007c:jal    ra,0x80000090   pc=0x80000090,rd=0x80000080
0x80000090:slli   zero,zero,31   0x00000000<<31
0x80000094:ebreak
